315,Toledo,32,17,15,.531,3.12,-2.21,8,10,9,6,6,8,2482,2286,,1280,865,1881,.460,263,722,.364,489,655,.747,306,1161,523,167,63,373,552
316,Towson,32,20,12,.625,0.62,-1.55,11,7,12,3,7,6,2286,2137,,1290,779,1825,.427,178,553,.322,550,810,.679,461,1257,361,199,150,391,651
317,Troy,31,9,22,.290,-9.01,-1.88,4,16,4,10,4,10,2145,2329,,1250,740,1817,.407,208,675,.308,457,713,.641,349,1132,349,185,88,376,582
318,Tulane,34,12,22,.353,-0.61,4.04,3,15,6,10,2,10,2240,2398,,1390,802,2021,.397,216,719,.300,420,621,.676,415,1266,372,218,131,449,649
319,Tulsa,31,20,11,.645,10.07,5.74,12,6,12,3,6,5,2294,2160,,1250,796,1793,.444,216,656,.329,486,716,.679,313,1087,425,211,83,332,548
320,UCLA,32,15,17,.469,10.87,10.09,6,12,11,6,3,7,2480,2455,,1295,915,2016,.454,200,551,.363,450,651,.691,393,1266,502,175,110,389,595
321,Utah State,31,16,15,.516,2.63,2.01,7,11,10,6,5,8,2274,2217,,1240,802,1779,.451,257,695,.370,413,597,.692,319,1107,454,171,81,373,546
322,Utah Valley,30,12,18,.400,-9.34,-3.34,6,8,7,7,5,9,2280,2360,,1210,785,1833,.428,256,729,.351,454,628,.723,275,1100,435,176,95,398,627
323,Utah,34,26,8,.765,16.56,9.07,13,5,16,1,5,5,2639,2351,,1380,928,1898,.489,259,713,.363,524,734,.714,328,1273,532,183,145,414,524
324,Valparaiso,32,26,6,.813,10.25,-1.38,16,2,14,1,12,4,2425,1991,,1290,836,1892,.442,260,718,.362,493,681,.724,417,1345,444,222,143,412,639
325,Vanderbilt,32,19,13,.594,18.27,8.86,11,7,14,2,3,9,2456,2155,,1290,841,1826,.461,270,695,.388,504,721,.699,304,1235,478,138,177,370,610
326,Vermont,34,21,13,.618,-1.37,-4.58,11,5,12,3,8,8,2550,2397,,1360,915,1877,.487,234,604,.387,486,689,.705,307,1198,460,188,144,449,658
327,Villanova,34,29,5,.853,21.64,8.37,16,2,15,1,10,2,2617,2166,,1365,905,1936,.467,291,847,.344,516,664,.777,315,1211,549,229,116,377,596
